[00:00:00,000 --> 00:00:01,400] 那从这节课开始呢
[00:00:01,400 --> 00:00:04,800] 我们就会开始第一个模块的学习了
[00:00:04,800 --> 00:00:05,780] 这个模块啊
[00:00:05,780 --> 00:00:08,520] 我们的大主题就是搞大钱
[00:00:09,080 --> 00:00:12,800] 我会教大家搞钱所需要的核心元素
[00:00:12,800 --> 00:00:13,760] 那接下来呢
[00:00:13,760 --> 00:00:15,560] 我们会花三节课的时间
[00:00:15,560 --> 00:00:20,900] 首先帮你们来梳理搞钱的战略方向和底层逻辑
[00:00:20,900 --> 00:00:24,300] 有了稳固的地基和基础之后吧
[00:00:24,300 --> 00:00:24,860] 学习呢
[00:00:24,860 --> 00:00:27,000] 才会事半功倍
[00:00:27,000 --> 00:00:29,540] 那今天我们这节课的主题是
[00:00:29,540 --> 00:00:34,420] 搞錢的第一性原理是搞信息差
[00:00:34,480 --> 00:00:37,360] 首先呢 我給大家分享兩個基本心態
[00:00:37,360 --> 00:00:38,980] 第一個是
[00:00:38,980 --> 00:00:42,280] 你搞不到錢是因為你不愛錢
[00:00:42,280 --> 00:00:44,600] 我直播的時候呢就跟大家講過
[00:00:44,600 --> 00:00:48,140] 年入百萬其實不需要什麼聰明才智的
[00:00:48,140 --> 00:00:50,880] 只需要吃苦就能夠達成了
[00:00:50,880 --> 00:00:54,580] 但是為什麼很多人他覺得自己吃了很多很多的苦
[00:00:54,580 --> 00:00:57,340] 每天都在風吹日曬很努力
[00:00:57,340 --> 00:01:00,460] 可是就是賺不到年入百萬這個級別呢
[00:01:00,460 --> 00:01:03,940] 甚至他們還會覺得這個好像是個天文數字
[00:01:03,940 --> 00:01:05,080] 這到底是為什麼
[00:01:05,740 --> 00:01:09,160] 有的人可能會覺得說是因為他們沒有找對行業
[00:01:09,160 --> 00:01:10,720] 沒有找準賽道
[00:01:10,720 --> 00:01:11,900] 或者說呢
[00:01:11,900 --> 00:01:15,260] 他們是不是每天都在做著重複性的工作呀
[00:01:15,260 --> 00:01:16,880] 但是我想告訴大家的是
[00:01:16,880 --> 00:01:18,540] 其實本質上啊
[00:01:18,540 --> 00:01:22,360] 是因為這些人他們沒有那麼的愛錢
[00:01:22,360 --> 00:01:25,840] 他們對於金錢沒有那麼強烈的慾望
[00:01:25,840 --> 00:01:29,120] 這個觀點可能聽起來有點反常識
[00:01:29,120 --> 00:01:31,880] 你們可能會覺得怎麼會有人不愛錢呢
[00:01:31,880 --> 00:01:32,460] 對吧
[00:01:32,460 --> 00:01:34,900] 但是其實這個就是事實
[00:01:34,900 --> 00:01:36,360] 大家絕大部分時候啊
[00:01:36,360 --> 00:01:38,340] 都是以為自己很愛錢
[00:01:38,340 --> 00:01:39,400] 但其實呢
[00:01:39,400 --> 00:01:41,420] 大家都只是嘴巴上說說而已
[00:01:41,420 --> 00:01:42,820] 我舉個例子
[00:01:42,820 --> 00:01:44,140] 你們就明白了
[00:01:44,140 --> 00:01:46,700] 你們有沒有發現其實很多男的呀
[00:01:46,700 --> 00:01:49,040] 他們在娶了老婆之後
[00:01:49,040 --> 00:01:51,520] 就不太想工作了
[00:01:51,520 --> 00:01:53,080] 結婚之前女生很多時候
[00:01:53,080 --> 00:01:55,000] 她覺得這個男的雖然說
[00:01:55,000 --> 00:01:57,800] 目前好像还没有什么家底
[00:01:57,800 --> 00:01:58,760] 但是呢
[00:01:58,760 --> 00:02:00,240] 他经常跟我分享
[00:02:00,240 --> 00:02:02,300] 他的这种理想啊
[00:02:02,300 --> 00:02:04,380] 他对于未来的展望啊
[00:02:04,380 --> 00:02:04,560] 是吧
[00:02:04,560 --> 00:02:06,440] 那我觉得他是个潜力股呀
[00:02:06,440 --> 00:02:08,100] 我觉得他工作挺勤奋的呀
[00:02:08,100 --> 00:02:09,100] 挺努力的呀
[00:02:09,100 --> 00:02:10,720] 虽然现在没有拿到什么结果
[00:02:10,720 --> 00:02:12,780] 可是未来会腾飞的呀
[00:02:12,780 --> 00:02:14,080] 但是结婚之后
[00:02:14,080 --> 00:02:17,960] 他们发现这个男的完全不带动弹的
[00:02:17,960 --> 00:02:20,060] 每天就开始在家里打游戏
[00:02:20,060 --> 00:02:21,420] 那本质上啊
[00:02:21,420 --> 00:02:23,220] 其实就是因为这个男的
[00:02:23,220 --> 00:02:26,000] 她並不是真的那麼愛錢
[00:02:26,000 --> 00:02:29,420] 她想要的其實只是老婆孩子熱炕頭
[00:02:29,420 --> 00:02:33,160] 所以她把她所有的力氣全部花在了
[00:02:33,160 --> 00:02:35,480] 搞定這個女人上面了
[00:02:35,480 --> 00:02:36,860] 她在討老婆的時候
[00:02:36,860 --> 00:02:38,980] 可能瘋狂的吹牛
[00:02:38,980 --> 00:02:42,800] 演繹自己有多麼多麼的勤奮
[00:02:42,800 --> 00:02:44,020] 但是結了婚之後
[00:02:44,020 --> 00:02:44,580] 她就覺得
[00:02:44,580 --> 00:02:46,800] 哎呀 我都有老婆有娃了
[00:02:46,800 --> 00:02:48,380] 我還整那麼累幹什麼呀
[00:02:48,380 --> 00:02:48,760] 對吧
[00:02:48,760 --> 00:02:50,180] 我每天坑吃坑吃的
[00:02:50,180 --> 00:02:51,940] 我現在就每天留點小錢
[00:02:51,940 --> 00:02:52,700] 打個小牌
[00:02:52,700 --> 00:02:54,540] 抽點小煙 喝點小酒
[00:02:54,540 --> 00:02:56,060] 按個小腳 洗個小澡
[00:02:56,060 --> 00:02:57,700] 是吧 感覺挺爽
[00:02:57,700 --> 00:02:58,800] 那這個呢
[00:02:58,800 --> 00:03:00,900] 其實就是絕大部分人的一個心理狀態
[00:03:00,900 --> 00:03:03,660] 他嘴巴上好像是想賺錢的
[00:03:03,660 --> 00:03:07,040] 但是內心沒有那麼大的欲望和野心
[00:03:07,040 --> 00:03:08,800] 而且呢 更進一步的
[00:03:08,800 --> 00:03:11,160] 有的人他不僅僅是不愛錢
[00:03:11,160 --> 00:03:13,920] 他甚至於還是仇富的
[00:03:13,920 --> 00:03:15,420] 你們就看看這個互聯網
[00:03:15,420 --> 00:03:17,820] 感受一下整個網絡的輿論
[00:03:17,820 --> 00:03:18,640] 你們就知道
[00:03:18,640 --> 00:03:20,200] 有很多很多人
[00:03:20,200 --> 00:03:22,200] 他們都是看到別人有錢了
[00:03:22,200 --> 00:03:24,920] 第一時間他一定是罵罵咧咧的
[00:03:24,920 --> 00:03:26,980] 他巴不得 哎 這個塌方了
[00:03:26,980 --> 00:03:29,660] 那個破產了 那個最好是進去了
[00:03:29,660 --> 00:03:32,260] 恨不得所有的有錢人都完蛋
[00:03:32,260 --> 00:03:34,320] 那你說這些人是愛錢嗎
[00:03:34,320 --> 00:03:35,240] 其實不是
[00:03:35,240 --> 00:03:37,540] 他們的本質是仇富
[00:03:37,540 --> 00:03:38,940] 真正愛錢的人
[00:03:38,940 --> 00:03:41,000] 真正有野心 有慾望的人
[00:03:41,000 --> 00:03:44,400] 他根本就不會罵這些有錢人
[00:03:44,400 --> 00:03:47,280] 他永遠都只會想著怎麼去學
[00:03:47,280 --> 00:03:49,980] 或者怎麼去靠近這些有錢人
[00:03:50,300 --> 00:03:52,300] 他腦子裡天天都在琢磨
[00:03:52,300 --> 00:03:54,580] 你到底是怎么搞的呀
[00:03:54,580 --> 00:03:57,620] 我非要看一下 我非要学习一下
[00:03:58,540 --> 00:04:01,600] 可能别人能花一天学明白的东西
[00:04:01,600 --> 00:04:03,340] 我再不记 我再笨
[00:04:03,340 --> 00:04:05,880] 我花三天我也能学明白吧
[00:04:05,880 --> 00:04:07,900] 别人花一年能学明白的东西
[00:04:07,900 --> 00:04:10,500] 我学三年不行吗
[00:04:10,500 --> 00:04:12,400] 别人一年如果能赚三百万
[00:04:12,400 --> 00:04:14,260] 我把他这个模式看清楚
[00:04:14,260 --> 00:04:16,580] 我一年就赚了一百万不行吗
[00:04:17,280 --> 00:04:20,840] 他会觉得说我即使天资不如你
[00:04:20,840 --> 00:04:22,640] 可是我動作比你慢
[00:04:22,640 --> 00:04:24,260] 我拿結果的速度比你慢
[00:04:24,260 --> 00:04:26,600] 我的野心我的慾望
[00:04:26,600 --> 00:04:28,580] 跟你是絕對不輸的
[00:04:28,580 --> 00:04:32,960] 那麼我對這個事情的強烈渴望達到了
[00:04:32,960 --> 00:04:37,520] 我相信我拿結果只不過是一個時間跟效率的問題
[00:04:37,520 --> 00:04:40,520] 這個才是叫真正愛錢的人
[00:04:40,520 --> 00:04:43,920] 所以寶們你們也可以自我檢查一下
[00:04:43,920 --> 00:04:48,000] 你到底是嘴上愛錢還是你真的愛
[00:04:48,390 --> 00:04:50,670] 接下來呢我給大家分享第二個認知
[00:04:50,670 --> 00:04:55,450] 就是 愛錢其實是愛自己 愛身邊的人
[00:04:55,480 --> 00:04:59,960] 原來呢 我的這個私密啊 哼哈的項目負責人
[00:04:59,960 --> 00:05:02,120] 陳陳老師 大家都很熟悉啊
[00:05:02,120 --> 00:05:04,700] 他呀 就是一個一點都不愛錢的人
[00:05:04,700 --> 00:05:08,320] 因為他其實不知道錢能給他帶來什麼
[00:05:08,320 --> 00:05:09,340] 你看看
[00:05:09,340 --> 00:05:12,260] 這個事呢 就是我有一點小心機給大家分享啊
