[00:00:00,000 --> 00:00:01,620] 今天这节课啊
[00:00:01,620 --> 00:00:03,660] 我们主题是
[00:00:03,660 --> 00:00:04,840] 杠杆思维
[00:00:04,840 --> 00:00:05,960] 在我看来呢
[00:00:05,960 --> 00:00:07,360] 高级的商业模式
[00:00:07,360 --> 00:00:08,940] 不是多劳多得
[00:00:08,940 --> 00:00:10,920] 而是不劳而获
[00:00:10,920 --> 00:00:12,640] 那这个不劳而获呢
[00:00:12,640 --> 00:00:14,400] 咱们要在这里打上双引号
[00:00:14,400 --> 00:00:17,000] 在创业和雄进的道路上呢
[00:00:17,000 --> 00:00:19,900] 很多的宝宝其实是非常能吃苦的
[00:00:19,900 --> 00:00:20,900] 非常的勤奋
[00:00:21,260 --> 00:00:22,300] 但是同时呢
[00:00:22,300 --> 00:00:24,680] 也因为这样的勤奋和吃苦
[00:00:24,680 --> 00:00:26,860] 拿到不错结果的时候
[00:00:26,860 --> 00:00:29,120] 时间一长他们就发现
[00:00:29,120 --> 00:00:32,400] 這樣做到底什麼才是個鏡頭呢
[00:00:32,400 --> 00:00:34,260] 就好像很多的主播就是這樣的
[00:00:34,260 --> 00:00:36,800] 他每天一開播就有流量
[00:00:36,800 --> 00:00:38,260] 一開播就能變線
[00:00:38,260 --> 00:00:39,940] 然後呢他們就天天播天天播
[00:00:39,940 --> 00:00:43,160] 有的從剛開始三四個小時延長到後來五六個小時
[00:00:43,160 --> 00:00:45,520] 到後來甚至於感覺你只要一開
[00:00:45,520 --> 00:00:47,320] 他絕對就在播是吧
[00:00:47,320 --> 00:00:50,380] 因為他們覺得一開播有流量就能夠變線
[00:00:50,380 --> 00:00:52,860] 可是呢只要他如果說一斷
[00:00:52,860 --> 00:00:55,060] 很有可能他就變不了線了
[00:00:55,060 --> 00:00:56,580] 所以他必須要讓自己
[00:00:56,580 --> 00:01:01,080] 越來越長時間的卷到這樣的心情勞作當中去
[00:01:01,080 --> 00:01:02,540] 他停不下來
