[00:00:00,000 --> 00:00:01,420] Hello 寶子们你们好
[00:00:01,420 --> 00:00:05,100] 欢迎回到我们金贵的关系2.0的课堂
[00:00:05,100 --> 00:00:06,260] 那今天这节课呢
[00:00:06,260 --> 00:00:08,280] 是我们整门课里啊
[00:00:08,280 --> 00:00:09,980] 最为重要的一期内容
[00:00:09,980 --> 00:00:11,780] 也是我们在雄进啊
[00:00:11,780 --> 00:00:13,600] 搞事业的这个过程当中
[00:00:13,600 --> 00:00:15,320] 最核心的价值观
[00:00:15,320 --> 00:00:17,620] 那就是长期主义
[00:00:17,620 --> 00:00:18,640] 这节课的内容呢
[00:00:18,640 --> 00:00:20,960] 会稍微的务虚一点点
[00:00:20,960 --> 00:00:22,900] 会更加的偏上价值观上面
[00:00:22,900 --> 00:00:24,780] 还有道上面的这种讲解
[00:00:24,780 --> 00:00:25,840] 不会一下子呢
[00:00:25,840 --> 00:00:27,000] 给到大家很落地
[00:00:27,000 --> 00:00:28,540] 实操的一些方法
[00:00:28,540 --> 00:00:30,380] 但是各位寶子們
[00:00:30,380 --> 00:00:34,600] 如果你們想要把後面的內容學得非常的好的話
[00:00:34,600 --> 00:00:37,320] 今天這門課一定要打起十二分的精神
[00:00:37,320 --> 00:00:41,860] 因為這節課的觀念會指導著我們後續所有的商業動作
[00:00:41,860 --> 00:00:43,700] 如果這節課沒有理解透徹
[00:00:43,700 --> 00:00:49,120] 後面的內容可能在聽的時候會覺得有一點卡點啊
[00:00:51,260 --> 00:00:53,000] 好那我們首先來看啊
[00:00:53,000 --> 00:00:55,880] 很多的原本走慈禁的路子的姐妹們
[00:00:55,880 --> 00:00:58,280] 在轉型到雄進的過程當中呢
[00:00:58,280 --> 00:01:00,980] 其實都會有一個特別明顯的特點
[00:01:00,980 --> 00:01:03,340] 那就是想賺快錢
[00:01:03,340 --> 00:01:05,500] 他們很容易耐不下來性子
[00:01:05,500 --> 00:01:07,160] 只想一波搞個大的
[00:01:07,660 --> 00:01:08,560] 但實際上呢
[00:01:08,560 --> 00:01:10,400] 如果你是保持著這樣一個心態
[00:01:10,400 --> 00:01:14,800] 是沒有辦法真正的狠下心來去搞事業的
[00:01:14,800 --> 00:01:15,980] 我給大家舉個例子
[00:01:15,980 --> 00:01:17,720] 就是我們的EVE導師呢
[00:01:17,720 --> 00:01:20,220] 其實大部分都是屬於在
[00:01:20,220 --> 00:01:23,040] 辭進領域退休的這樣一些導師
[00:01:23,040 --> 00:01:25,860] 要麼已經是拿到了一些大的結果
[00:01:25,860 --> 00:01:27,640] 也不想再折騰了
[00:01:27,640 --> 00:01:31,640] 要么就是家里现在有九十几号房子在收肤啊
[00:01:31,640 --> 00:01:34,420] 那他们自己的生活呢也是比较悠闲
[00:01:34,420 --> 00:01:35,740] 呃 悠待悠待的一个状态
[00:01:35,740 --> 00:01:36,820] 没有什么压力
[00:01:36,820 --> 00:01:38,840] 那他们来当我们的一个寓意导师呢
[00:01:38,840 --> 00:01:40,860] 其实是在彼此成就
[00:01:40,860 --> 00:01:44,660] 他们通过我的这个平台找到了一个自我实现的方式
[00:01:44,660 --> 00:01:50,060] 而他们的经验呢又能为我们的客户提供一些更精准的答案
[00:01:50,060 --> 00:01:51,320] 到今天为止呢
[00:01:51,320 --> 00:01:53,960] 我的团队其实前前后后啊
[00:01:53,960 --> 00:01:57,040] 一共是有招募了可能世界二十位导师的
[00:01:57,040 --> 00:01:59,000] 那到今天为止啊
[00:01:59,000 --> 00:02:02,180] 只有三位导师离开了我的团队
[00:02:02,180 --> 00:02:04,700] 那这三位导师为什么会离开呢
[00:02:04,700 --> 00:02:07,380] 其实都有着一些相同的原因
[00:02:07,380 --> 00:02:10,980] 那就是他们现在还都在辞进
[00:02:10,980 --> 00:02:12,880] ING的状态里面
[00:02:12,880 --> 00:02:16,140] 而且呢可能正在拿着一些比较好的一些结果
[00:02:16,140 --> 00:02:17,520] 那大家可以想一想啊
[00:02:17,520 --> 00:02:19,580] 在同一个时间之内啊
[00:02:19,580 --> 00:02:20,160] 一下子呢
[00:02:20,160 --> 00:02:22,840] 可能要要去跟大佬搞好关系是吧
