[00:00:00,000 --> 00:00:06,200] 老子们大家好 我是曲曲 欢迎大家回到我们金贵的关系2.0的课堂
[00:00:06,200 --> 00:00:10,940] 那我们今天呢就进入到了品牌营销这个模块的学习
[00:00:10,940 --> 00:00:16,900] 我们会用三节课的时间来讲清楚作为创业者如何做好营销宣传
[00:00:16,900 --> 00:00:21,320] 如何讲好故事以及如何面对危机公关
[00:00:23,530 --> 00:00:27,210] 好 那我们这些课呢 首先来讲一讲如何做好广告营销
[00:00:28,590 --> 00:00:32,250] 首先呢 大家一定要有一个广告位思维
[00:00:32,250 --> 00:00:35,770] 要学会充分的占领每一个广告位
[00:00:35,770 --> 00:00:40,450] 所谓广告位啊 其实就相当于你是在摆摊卖东西的时候的摊位
[00:00:40,450 --> 00:00:44,970] 那你的摊位越多 是不是你的产品的曝光率它就会越大
[00:00:44,970 --> 00:00:47,190] 就越容易把产品卖出去
[00:00:47,280 --> 00:00:51,500] 就好比呢 以前的这个电视广告 你买了某一个时间阶段
[00:00:51,500 --> 00:00:54,600] 那么这个时间段呢 其实就是你的广告位
[00:00:54,600 --> 00:00:55,540] 或者啊
[00:00:55,540 --> 00:00:58,460] 我们在机场经常会看到一些大屏啊
[00:00:58,460 --> 00:01:01,560] 或者是墙上都会挂着各式各样的广告
[00:01:01,560 --> 00:01:02,220] 其实呢
[00:01:02,220 --> 00:01:03,680] 这个就是机场的广告位
[00:01:03,680 --> 00:01:04,600] 再比如呢
[00:01:04,600 --> 00:01:05,840] 在抖音啊
[00:01:05,840 --> 00:01:06,580] 小红书啊
[00:01:06,580 --> 00:01:07,640] 或者是视频号啊
[00:01:07,640 --> 00:01:10,200] 等等这样一些新媒体的平台上
[00:01:10,200 --> 00:01:10,860] 其实呢
[00:01:10,860 --> 00:01:14,580] 也是我们这个时代最常见的广告位
[00:01:14,580 --> 00:01:15,620] 电视广告也好
[00:01:15,620 --> 00:01:16,780] 或者是机场啊
[00:01:16,780 --> 00:01:18,460] 高铁的广告大屏也好
[00:01:18,460 --> 00:01:20,420] 还有新媒体的平台也好
[00:01:20,420 --> 00:01:22,400] 只要有能力有预算
[00:01:22,400 --> 00:01:25,540] 那么我认为大家都应该在这个上面
[00:01:25,540 --> 00:01:27,380] 尽量的占有一席之地
[00:01:27,380 --> 00:01:28,280] 当然啊
[00:01:28,280 --> 00:01:29,860] 在这个自媒体的时代呢
[00:01:29,860 --> 00:01:30,780] 我们的重点
[00:01:30,780 --> 00:01:32,360] 当然是要布局在
[00:01:32,360 --> 00:01:34,840] 占领社交媒体平台
[00:01:34,840 --> 00:01:36,700] 大家一定要在小红书啊
[00:01:36,700 --> 00:01:38,580] 抖音或者视频号等等
[00:01:38,580 --> 00:01:41,780] 所有那些你可以触达得到的平台上面
[00:01:41,780 --> 00:01:44,160] 全面的去曝光自己
[00:01:44,160 --> 00:01:47,100] 以及介绍自己的产品和服务
[00:01:47,100 --> 00:01:48,640] 去分享自己的案例
[00:01:48,640 --> 00:01:49,600] 因为这个时代呢
[00:01:49,600 --> 00:01:51,120] 是新媒体的时代
[00:01:51,120 --> 00:01:53,240] 大部分的行業想要賺錢的話
[00:01:53,240 --> 00:01:55,660] 都不能夠脫離互聯網
[00:01:55,660 --> 00:01:57,960] 還有新媒體的這種精英思維
[00:01:57,960 --> 00:01:59,920] 我們需要把原有的行業
[00:01:59,920 --> 00:02:03,740] 用新媒體新渠道重新再做一遍
[00:02:03,740 --> 00:02:07,520] 這個才是吻合我們現在這個時代的
[00:02:07,520 --> 00:02:09,160] 趨勢的創業思維
[00:02:09,160 --> 00:02:11,600] 那除了這些顯而易見的廣告位之外呢
[00:02:11,600 --> 00:02:13,640] 我們還要學會借力
[00:02:13,640 --> 00:02:17,440] 就是把別人的一些平台或者是流量入口
[00:02:17,440 --> 00:02:19,660] 當成是自己的廣告位
[00:02:19,660 --> 00:02:21,820] 比如说有一些大销售呢
[00:02:21,820 --> 00:02:23,520] 他们会为了找客户啊
[00:02:23,520 --> 00:02:25,280] 为了多曝光自己
[00:02:25,280 --> 00:02:28,200] 不仅仅是发视频 开直播
[00:02:28,200 --> 00:02:31,560] 而且还会把网上所有的社群
[00:02:31,560 --> 00:02:33,100] 全部都进一遍
[00:02:33,100 --> 00:02:33,840] 甚至呢
[00:02:33,840 --> 00:02:36,660] 会去别人的视频的评论区
[00:02:36,660 --> 00:02:39,560] 反复的留言和引流
[00:02:39,560 --> 00:02:40,300] 那这个呢
[00:02:40,300 --> 00:02:43,000] 其实就是把别人的社群和评论区
[00:02:43,000 --> 00:02:45,000] 都当成了是自己的广告位
[00:02:45,000 --> 00:02:46,640] 不断的宣传自己
[00:02:46,640 --> 00:02:48,640] 曝光自己和吸引客户
[00:02:48,640 --> 00:02:49,460] 同样啊
[00:02:49,460 --> 00:02:54,000] 大家都知道我们的金贵的关系盗版客其实是满天飞的
[00:02:54,000 --> 00:02:57,980] 那我作为商家啊研发者品牌方
[00:02:57,980 --> 00:03:00,700] 我会打击他们举报他们
[00:03:00,700 --> 00:03:04,920] 但是呢我不太会为这件事情而感到非常的焦虑
[00:03:04,920 --> 00:03:07,320] 因为我会把这些盗版的视频啊
[00:03:07,320 --> 00:03:10,200] 也当成是我的一种免费的广告位
[00:03:10,200 --> 00:03:13,380] 其实呢他们也是在对我们的产品
[00:03:13,380 --> 00:03:15,780] 还有价值观做一种宣传
[00:03:16,070 --> 00:03:17,950] 在一开始的时候我的分销团队
[00:03:17,950 --> 00:03:20,070] 其实没有现在这么庞大的
[00:03:20,070 --> 00:03:22,590] 当然那个时候的影响力也没有现在这么大
[00:03:22,590 --> 00:03:25,330] 在客观的结果上来讲呢
[00:03:25,330 --> 00:03:29,930] 盗版其实是帮我占领了很多互联网上的广告位的
[00:03:29,930 --> 00:03:35,690] 因为他们的规模是远远的大于我自己的主体经营的这些分销规模的
[00:03:35,690 --> 00:03:35,990] 所以呢
[00:03:35,990 --> 00:03:38,730] 他们其实让更多的人知道了我
[00:03:38,730 --> 00:03:39,550] 甚至啊
[00:03:39,550 --> 00:03:42,510] 我有好几个闺蜜联盟现在的用户
[00:03:42,510 --> 00:03:45,030] 其实一开始他们都是看的盗版课
[00:03:45,030 --> 00:03:48,070] 然后才知道了我对我吸引之后
[00:03:48,070 --> 00:03:51,870] 最终以比较高的价格进入到我们的闺蜜联盟的
[00:03:51,870 --> 00:03:52,910] 那放到现在呢
[00:03:52,910 --> 00:03:55,930] 我自己的这个分销团队是越来越强大了
[00:03:55,930 --> 00:03:58,630] 我自己的广告位也非常的充足了
[00:03:58,630 --> 00:04:02,470] 所以呢我也不会放任这些盗版的这些视频啊不管
[00:04:02,470 --> 00:04:04,430] 但是呢比起打压他们
[00:04:04,430 --> 00:04:08,590] 我更倾向于的做法呢是希望可以收编他们
[00:04:08,590 --> 00:04:11,550] 就是让这些盗版商能够为我所用
[00:04:11,550 --> 00:04:14,490] 因为我觉得他们的数量是非常庞大的
[00:04:14,490 --> 00:04:16,950] 能夠更好的幫助我曝光
[00:04:16,950 --> 00:04:18,390] 提高我的影響力
[00:04:18,390 --> 00:04:22,670] 而且呢他們本來就是一直都在兜售著
[00:04:22,670 --> 00:04:24,770] 我的這樣一些產品課程
[00:04:24,770 --> 00:04:28,330] 那我覺得如果他們能夠變成正規軍的話
[00:04:28,330 --> 00:04:31,670] 其實呢根據他們這麼長時間賣我的東西的經驗來說
[00:04:31,670 --> 00:04:33,970] 他們也能夠更好的去上崗
[00:04:33,970 --> 00:04:37,530] 所以呢我覺得這也是在給他們提供一個正經的就業崗位
[00:04:37,530 --> 00:04:40,490] 引導他們去走向一條更陽光的道路
[00:04:40,490 --> 00:04:42,390] 我認為這個對於我們雙方來說
[00:04:42,390 --> 00:04:44,170] 其實它是一個雙贏的選擇
[00:04:44,170 --> 00:04:48,790] 那反过来讲呢 我其实也可以成为大家的广告位啊
[00:04:48,790 --> 00:04:53,950] 就好比呢 我们的金贵的社群啊 还有我们现在刚刚研发出来的这个取之心平台啊
[00:04:54,510 --> 00:05:00,250] 他的这个作业栏 其实他们都属于是大家可以充分利用的一个广告位
[00:05:00,630 --> 00:05:06,470] 你们在社群里边 或者是在我们取之心小程序上面 认认真真的去写作业啊
[00:05:06,470 --> 00:05:13,150] 分享自己的学习心得呀 或者是做自己的自我介绍呀 其实本质上来讲啊 都是在为自己打广告
[00:05:13,150 --> 00:05:18,190] 你们看前段时间我们刚刚进行了这个规模联盟的理事会的选举
[00:05:18,190 --> 00:05:21,050] 然后有很多的我们理事会的候选人呢
[00:05:21,050 --> 00:05:24,690] 他们都是把自己的这个自我介绍放到了取之心的平台上面
[00:05:24,690 --> 00:05:29,010] 然后他们的这个短视频也引发了非常非常多的曝光
[00:05:29,010 --> 00:05:33,570] 那这个呢其实也是给他们自己做到了一个很有力量的正面宣传
[00:05:33,570 --> 00:05:36,310] 所以大家呢一定要好好的去上课啊
[00:05:36,310 --> 00:05:37,410] 好好的写作业
[00:05:37,410 --> 00:05:42,750] 说不定呢哪一天你就能够在我的平台上打造你自己的广告位
[00:05:42,750 --> 00:05:46,770] 并且吸引你自己的客户去与你来做成交
[00:05:47,000 --> 00:05:48,200] 所以其实呢
[00:05:48,200 --> 00:05:50,360] 我们有非常多的隐秘的
[00:05:50,360 --> 00:05:52,980] 不起眼的这样一些宣传渠道啊
[00:05:52,980 --> 00:05:55,040] 我们大家一定要充分的去关注
[00:05:55,040 --> 00:05:56,960] 并且把他们利用起来
[00:06:01,500 --> 00:06:04,160] 在分享完这个广告位的思维之后呢
[00:06:04,160 --> 00:06:07,000] 我们挑其中一个最经典的
[00:06:07,000 --> 00:06:09,760] 也是我们最常见的这样一个广告位
[00:06:09,760 --> 00:06:12,520] 来给大家进行详细的拆解和分享
[00:06:12,550 --> 00:06:16,490] 这个广告位其实就是我们每个人都会用的
[00:06:16,490 --> 00:06:23,840] 叫做朋友圈 到現在為止啊 大家對於發朋友圈這件事 依然是有很多很多的
[00:06:23,840 --> 00:06:31,080] 誤區的 有的呢 他們要不就是會朋友圈三天可見 覺得不要老是在朋友圈來暴露自己
[00:06:31,080 --> 00:06:34,140] 不然呢 就會讓別人一眼看穿自己的底牌
[00:06:34,460 --> 00:06:40,760] 他們就會覺得說 哎 那些大佬都不怕朋友圈 那我也應該學習大佬 我也不怕朋友圈
[00:06:40,760 --> 00:06:45,500] 那其實呢 對於這些想法呢 我覺得多多少少都是有一點點誤區的 首先啊
[00:06:45,960 --> 00:06:48,860] 就是我們普通人有個什麼透不透底的
[00:06:49,480 --> 00:06:52,100] 你說你發不發朋友圈
[00:06:52,100 --> 00:06:54,780] 其實本質上來講都不影響
[00:06:54,780 --> 00:06:56,220] 別人能夠看穿你
[00:06:56,220 --> 00:06:59,540] 其次呢就是大佬確實是不怎麼發朋友圈
[00:06:59,540 --> 00:07:01,020] 可是你是大佬嗎
[00:07:01,020 --> 00:07:03,180] 那人家馬雲他天天穿布鞋呢
[00:07:03,180 --> 00:07:06,100] 你能穿著一個布鞋天天出去談生意
[00:07:06,100 --> 00:07:07,800] 他不影響你的成交嗎
[00:07:07,800 --> 00:07:08,220] 對吧
[00:07:08,220 --> 00:07:09,220] 說白了
[00:07:09,220 --> 00:07:11,240] 當我們還是一個nobody的時候
[00:07:11,240 --> 00:07:13,100] 其實這樣一些說法
[00:07:13,100 --> 00:07:16,670] 对于我们都是没有任何的参考价值的
[00:07:16,670 --> 00:07:17,810] 我认为啊
[00:07:17,810 --> 00:07:19,910] 百亿身家以下的老板
[00:07:19,910 --> 00:07:22,330] 都应该是可以发朋友圈的
[00:07:22,330 --> 00:07:24,230] 别说百亿身家以下的老板了
[00:07:24,230 --> 00:07:26,350] 你们就看看现在这个周鸿一啊
[00:07:26,810 --> 00:07:27,910] 360的老板
[00:07:28,040 --> 00:07:30,040] 他现在做自媒体的这个热情
[00:07:30,040 --> 00:07:32,260] 我相信我不用看他的朋友圈
[00:07:32,260 --> 00:07:35,120] 我就知道他一定是一个非常地积极的
[00:07:35,120 --> 00:07:37,080] 经营自己的朋友圈的人对吧
[00:07:37,080 --> 00:07:38,880] 你看人家这么大身家的老板
[00:07:38,880 --> 00:07:41,440] 他都可以用好人生当中的每一个广告位
[00:07:41,440 --> 00:07:44,240] 又何況是我們這些無名小卒呢
[00:07:44,240 --> 00:07:47,340] 還有就是我相信我們的學員裡現在可能還
[00:07:47,340 --> 00:07:51,040] 比較少有達到百億身家水平的 是吧
[00:07:51,040 --> 00:07:51,760] 如果有的話
[00:07:51,760 --> 00:07:53,900] 那我在這個地方就先失敬一下
[00:07:54,420 --> 00:07:55,660] 我希望是有啊
[00:07:55,660 --> 00:07:58,660] 我相信未來一定會有很多很多的百億身家的大佬
[00:07:58,660 --> 00:08:02,040] 越來越多的進入到我們這個小群體裡頭的
[00:08:02,040 --> 00:08:04,080] 好 那回到正題
[00:08:04,080 --> 00:08:04,980] 實際上呢
[00:08:04,980 --> 00:08:07,340] 大部分的創業者都需要發朋友圈
[00:08:07,340 --> 00:08:08,460] 那核心的原因呢
[00:08:08,460 --> 00:08:09,520] 我認為有兩個
[00:08:09,520 --> 00:08:14,320] 第一個是朋友圈它是最小單位的流量池
[00:08:15,040 --> 00:08:17,220] 很多人現在都想做自媒體
[00:08:17,220 --> 00:08:18,860] 做抖音做短視頻
[00:08:18,860 --> 00:08:20,080] 但實際上呢
[00:08:20,080 --> 00:08:22,780] 如果你連朋友圈都運營不好的話
[00:08:22,780 --> 00:08:26,020] 你想想看你怎麼去運營這些更難做的
[00:08:26,020 --> 00:08:27,700] 這樣一種自媒體的形式呢
[00:08:28,180 --> 00:08:31,820] 因為朋友圈它其實就是一個最小的流量圈子了
[00:08:31,820 --> 00:08:34,900] 朋友圈最多最多也只能加上差不多一萬人
[00:08:34,900 --> 00:08:38,000] 而且我們很多人的朋友圈其實都只有一兩千個人
[00:08:38,000 --> 00:08:40,880] 那你連這個一兩千人的流量池
[00:08:40,880 --> 00:08:43,760] 都沒有辦法熟練的去把它運營好
[00:08:43,760 --> 00:08:46,940] 你又怎麼去運營更大的流量平台呢
[00:08:46,940 --> 00:08:48,860] 所以我們只有運營好了朋友圈
[00:08:48,860 --> 00:08:51,620] 讓你的朋友圈的大部分人首先能夠
[00:08:51,620 --> 00:08:54,460] 喜歡你 甚至於是為你付費
[00:08:54,460 --> 00:08:57,480] 你才有可能去經營更大的流量池
[00:08:57,480 --> 00:09:00,400] 讓幾萬人甚至是上十萬人
[00:09:00,400 --> 00:09:03,440] 都能夠看見你 喜歡你 最終購買你的產品
[00:09:03,440 --> 00:09:05,280] 我呢在做自媒體之前
[00:09:05,280 --> 00:09:08,060] 其实就经常在朋友圈里发一些小作文
[00:09:08,060 --> 00:09:11,420] 很多很多的人都是我的朋友圈粉丝啊
[00:09:11,420 --> 00:09:12,820] 但是我的朋友圈跟微博
[00:09:12,820 --> 00:09:15,280] 其实基本上是同步经营的
[00:09:15,280 --> 00:09:17,960] 应该有很多很多宝宝也可以看到我的微博
[00:09:17,960 --> 00:09:20,840] 其实可以追溯到很早之前的
