[00:00:00,000 --> 00:00:03,180] 欢迎回到我们金贵的关系2.0的课堂
[00:00:03,580 --> 00:00:09,620] 那今天呢 是我们品牌营销这个模块的最后一刻啊 叫做面对质疑
[00:00:09,620 --> 00:00:15,520] 不管呢 你是在做自媒体 在台前露脸也好 还是说呢 你只是生活中的普通人也好
[00:00:15,520 --> 00:00:18,940] 总是会遭受到各种各样的非议和质疑的
[00:00:19,340 --> 00:00:22,500] 比如说呢 一个女生长得很漂亮啊 每天到处玩
[00:00:22,500 --> 00:00:27,100] 那么就会有很多人说啊 你是什么什么打引号的名媛啊
[00:00:27,100 --> 00:00:28,840] 你如果找个有钱的老公呢
[00:00:28,840 --> 00:00:29,580] 人家就会说
[00:00:29,580 --> 00:00:30,920] 你看他都比你大那么多
[00:00:30,920 --> 00:00:32,340] 你还不图人家钱
[00:00:32,340 --> 00:00:33,940] 你要找个没钱的吧
[00:00:33,940 --> 00:00:34,440] 人家就会说
[00:00:34,440 --> 00:00:36,740] 你看他这个老公没出息是吧
[00:00:36,740 --> 00:00:37,420] 反正呢
[00:00:37,420 --> 00:00:40,640] 人呢就是每时每刻都在被不停的judge
[00:00:40,640 --> 00:00:42,400] 不管你在做什么选择
[00:00:42,400 --> 00:00:44,020] 总会有人去说你不好
[00:00:45,160 --> 00:00:48,520] 那我们要怎么样正确的去面对呢
[00:00:48,520 --> 00:00:49,120] 首先呢
[00:00:49,120 --> 00:00:50,140] 我们要搞清楚
[00:00:50,140 --> 00:00:52,300] 质疑它是可以被分类的
[00:00:52,300 --> 00:00:53,720] 在生活和事业上
[00:00:53,720 --> 00:00:54,820] 我们遇到的质疑呢
[00:00:54,820 --> 00:00:56,300] 大致可以分为两种
[00:00:56,300 --> 00:00:58,520] 一種是善意的質疑
[00:00:58,520 --> 00:01:00,420] 他的出發點是關心
[00:01:00,420 --> 00:01:02,440] 我們就拿創業者來舉例子
[00:01:02,440 --> 00:01:03,760] 創業者最大的阻礙
[00:01:03,760 --> 00:01:06,380] 其實是來源於家裡人的不支持
[00:01:06,380 --> 00:01:09,060] 還有身邊朋友的否定
[00:01:09,060 --> 00:01:10,780] 因為絕大部分的創業者
[00:01:10,780 --> 00:01:13,220] 做的其實都是從無到有的事情
[00:01:13,660 --> 00:01:15,180] 所以他的原生家庭
[00:01:15,180 --> 00:01:18,060] 往往是很難理解他所做的這種事的
[00:01:18,760 --> 00:01:20,580] 就好比現在的很多父母
[00:01:20,580 --> 00:01:22,760] 哪怕看到了自己的孩子做生意
[00:01:22,760 --> 00:01:23,820] 賺到了錢
[00:01:23,820 --> 00:01:25,720] 他還是會去勸他的孩子說
[00:01:25,720 --> 00:01:28,860] 你去国际上班上啊或者考个公务员
[00:01:28,860 --> 00:01:30,180] 这样呢比较稳定
[00:01:30,680 --> 00:01:33,100] 再比如说呢我之前也在视频里提到过
[00:01:33,100 --> 00:01:36,080] 我妈妈以前最不能理解我做过的一件事
[00:01:36,080 --> 00:01:38,680] 就是我要从电视台出来自己创业
[00:01:38,680 --> 00:01:40,880] 她那会就觉得我应该待在那
[00:01:40,880 --> 00:01:43,340] 熬也要熬死在里头啊
[00:01:43,340 --> 00:01:46,360] 家里人呢就觉得你会在那个地方有更好的光环
[00:01:46,360 --> 00:01:48,800] 是吧我能看得懂啊是最安全的
[00:01:49,540 --> 00:01:51,620] 还有一个非常有意思的一个事啊就是
[00:01:51,620 --> 00:01:55,400] 我之前呢去迪拜的时候我是带着我助理一起去的
[00:01:55,400 --> 00:01:58,020] 然后他就跟我说他爸妈不让他去
[00:01:58,020 --> 00:01:59,980] 因为怕我把他卖了
[00:02:00,620 --> 00:02:01,020] 哈哈哈
[00:02:01,020 --> 00:02:04,000] 然后呢他到那边的时候就要不停不停的
