[00:00:00,000 --> 00:00:01,780] 哈喽宝子们大家好
[00:00:01,780 --> 00:00:05,500] 欢迎来到我们亲贵的关系2.0的课堂
[00:00:05,500 --> 00:00:10,300] 今天我们分享的课程主题叫做价格必得
[00:00:12,030 --> 00:00:14,710] 首先关于价格我们来聊一件事
[00:00:14,710 --> 00:00:16,690] 那就是如何定价
[00:00:16,690 --> 00:00:20,870] 这也是很多创业的一些宝宝都会有的一些烦恼
[00:00:20,870 --> 00:00:22,050] 他们经常会说
[00:00:22,050 --> 00:00:25,210] 我到底应该定高价还是应该定低价
[00:00:25,210 --> 00:00:27,570] 如何设计一个合适的定价呢
[00:00:28,110 --> 00:00:30,610] 我在这个地方给到大家分享一下
[00:00:30,610 --> 00:00:32,950] 需要考虑的五个因素
[00:00:32,950 --> 00:00:34,650] 第一个是客群
[00:00:35,190 --> 00:00:38,890] 你要根据目标客户的消费认知进行定价
[00:00:38,890 --> 00:00:42,670] 比如说你的目标客户的心理价位是在1000到3000
[00:00:42,670 --> 00:00:45,210] 那么你最好就不要定个1万块
[00:00:45,210 --> 00:00:46,230] 我举个例子
[00:00:46,230 --> 00:00:49,710] 我在给1V1咨询定价的时候
[00:00:49,710 --> 00:00:51,290] 其中有一个思考点位
[00:00:51,290 --> 00:00:53,530] 就是我们客户的心理价位
[00:00:53,530 --> 00:00:54,410] 我就在想
[00:00:54,410 --> 00:00:57,230] 如果我的目标客户真的很需要
[00:00:57,230 --> 00:00:59,390] 我来帮他解决问题的话
[00:00:59,390 --> 00:01:05,430] 那么它大概率应该可以花一到两个月的收入来进行咨询
[00:01:05,430 --> 00:01:09,170] 同时我也会想我想要的客群里最低限度
[00:01:09,170 --> 00:01:12,810] 起码一个月也要有一个七八千块钱的收入
[00:01:12,810 --> 00:01:16,230] 当然这个是我对我自己的一个想要的客户
[00:01:16,230 --> 00:01:18,150] 人群的这么一个画像
[00:01:18,150 --> 00:01:21,730] 所以在我的EVE导师的定价体系里
[00:01:21,730 --> 00:01:23,790] 大家可以看到我们最低的
[00:01:23,790 --> 00:01:26,720] 大概就是在七八千的一个价格
[00:01:26,720 --> 00:01:30,160] 那講到這個地方呢可能有的寶寶就會比較驚訝說
[00:01:30,160 --> 00:01:34,000] 我的目標客群里還會有收入七八千的人嗎
[00:01:34,000 --> 00:01:36,020] 難道不都是大富婆嗎
[00:01:37,280 --> 00:01:44,340] 其實呢不是這樣的 首先呢我鮑定客群最核心的標準是鮑定的價值觀
[00:01:44,340 --> 00:01:49,560] 我想要吸引的永遠都是那些有野心的想要向上的那樣一些女孩子
[00:01:49,560 --> 00:01:53,700] 哪怕他目前的收入還沒有達到富婆的級別啊
[00:01:53,700 --> 00:01:57,220] 但是呢 他只要積極的上進 渴望上上越千
[00:01:57,220 --> 00:01:59,960] 那麼他就是我的目標客戶
[00:01:59,960 --> 00:02:04,000] 同時呢 像這樣的一些人 我認為我的服務也能夠
[00:02:04,000 --> 00:02:07,260] 讓他們看到更大的效果 帶來更大的價值
[00:02:07,260 --> 00:02:09,240] 其次呢 你們要知道啊
[00:02:09,240 --> 00:02:11,360] 超一線城市的收入水平
[00:02:11,360 --> 00:02:14,900] 和三線城市的收入水平 其實差距還是很大的
[00:02:14,900 --> 00:02:17,880] 可能在三線城市 他們說 月入七八千
[00:02:17,880 --> 00:02:20,160] 感覺收入就挺高了
[00:02:20,160 --> 00:02:24,960] 那么我们要从他所处的环境里的社会阶层出发去做判断
[00:02:24,960 --> 00:02:30,840] 而不能单纯的以这个财富的数字收入的金额来作为衡量
[00:02:31,400 --> 00:02:36,260] 所以呢 这就是我说的 根据目标客户的心理价位去进行定价
[00:02:36,260 --> 00:02:39,980] 而这件事情反过来来理解呢 其实也是成立的
[00:02:39,980 --> 00:02:43,020] 就是说价格本身就是一种筛选
[00:02:43,670 --> 00:02:47,770] 就是当有人质疑你的价格 说你凭什么定这么贵的时候
[00:02:47,770 --> 00:02:49,650] 那往往也就意味着
[00:02:49,650 --> 00:02:53,930] 它起码不是你心目当中最想要的那一波目标客户
[00:02:53,930 --> 00:02:57,570] 作为销售你可能需要跟这个客户解释说
[00:02:57,570 --> 00:03:00,430] 我们为什么是这么一个定价 是吧
[00:03:00,430 --> 00:03:03,710] 但是从我作为创始人的角度上来说
[00:03:03,710 --> 00:03:07,890] 我的定价本身是为了锁定我的目标人群的
[00:03:07,890 --> 00:03:10,790] 所以我根本就不想要去解释
[00:03:10,790 --> 00:03:12,430] 为什么我这么定价
