[00:00:00,000 --> 00:00:03,700] 哈喽大家好 欢迎回到我们金贵的关系2.0的课堂
[00:00:03,700 --> 00:00:07,640] 今天我们课程主题是 如何面对抄袭
[00:00:10,170 --> 00:00:12,750] 无论你是在做生意还是做自媒体
[00:00:12,750 --> 00:00:15,650] 只要是你稍微的做出了一点小成绩
[00:00:15,650 --> 00:00:19,370] 那么就一定会被人模仿 甚至是被抄袭
[00:00:19,370 --> 00:00:21,490] 这个几乎是100%的一个事情
[00:00:21,490 --> 00:00:24,370] 那么如何面对抄袭呢
[00:00:24,370 --> 00:00:28,450] 其实就是要有效的打造自己的壁垒和互成和
[00:00:28,450 --> 00:00:32,690] 这个是我们在雄进的过程当中非常重要的一个环节
[00:00:32,690 --> 00:00:34,510] 当我们面对抄袭
[00:00:34,510 --> 00:00:36,310] 或者说被模仿的时候
[00:00:36,310 --> 00:00:38,130] 我们应该怎么做呢
[00:00:40,320 --> 00:00:41,860] 首先第一点
[00:00:41,860 --> 00:00:45,220] 在心态上我们不要怕抄袭
[00:00:45,220 --> 00:00:46,620] 理由有四个
[00:00:47,100 --> 00:00:50,780] 一在无法改变的事情上要放弃焦虑
[00:00:50,780 --> 00:00:53,060] 这句话大家应该经常听我说
[00:00:53,060 --> 00:00:56,480] 也是我们非常典型的一个价值观了
[00:00:56,960 --> 00:00:58,540] 我们在雄进的过程当中
[00:00:58,540 --> 00:01:01,960] 最重要的一件事情就是要做好精力管理
[00:01:01,960 --> 00:01:05,840] 我們不要把精力放在那些無法改變的事情上
[00:01:05,840 --> 00:01:09,180] 因為這個其實是在浪費我們的精力的
[00:01:09,180 --> 00:01:12,540] 相反 我們要去更加的關注那些
[00:01:12,540 --> 00:01:17,280] 投入產出比高的 有高度的正反饋的事情當中
[00:01:17,280 --> 00:01:21,320] 只有這樣 我們才能夠不斷的提高效率 發展自我
[00:01:21,320 --> 00:01:22,540] 而抄襲這個事情
[00:01:22,540 --> 00:01:26,080] 它基本上可以算作是一件完全無法改變的事情
[00:01:26,080 --> 00:01:29,420] 只要你做的够好 那么就一定会被抄
[00:01:29,420 --> 00:01:32,960] 特别是在做电商啊 做自媒体这个领域啊
[00:01:32,960 --> 00:01:36,140] 由于这些赛道呢 我们营业额基本上呢
[00:01:36,140 --> 00:01:38,240] 都是非常非常公开的一些数据
[00:01:38,240 --> 00:01:41,580] 那么只要大家感觉 哎 好像这个人他做的好
[00:01:41,580 --> 00:01:45,760] 赚到钱了 那么立刻就会被别人发现 被人模仿
[00:01:45,760 --> 00:01:48,660] 可能你今天的营业额 领跑行业了
[00:01:48,660 --> 00:01:51,920] 明天呢 就会有无数的人来拆解你的产品
[00:01:51,920 --> 00:01:53,280] 话术 还有人设等等
[00:01:53,280 --> 00:01:59,700] 我相信大家應該經常會在自媒體的平台上刷到很多很多人對於我的這種拆解是吧
[00:01:59,700 --> 00:02:02,480] 甚至於是一比一的這種複製和模仿
[00:02:02,840 --> 00:02:06,300] 所以說呢我們不要指望說別人不抄你
[00:02:06,300 --> 00:02:12,520] 相反我們應該思考的是如何加強迭代意識和創新意識
[00:02:12,520 --> 00:02:16,180] 讓自己的環節變得更加的豐富
[00:02:16,180 --> 00:02:18,720] 讓別人抄的越來越難
[00:02:18,720 --> 00:02:22,040] 那這個呢其實也是我曾經的微信簽名
[00:02:22,040 --> 00:02:25,520] 叫做以過冬的心態永遠活在春天裏
[00:02:25,520 --> 00:02:29,880] 我們一定要每時每刻對於自己的業務進行深度思考
[00:02:29,880 --> 00:02:30,920] 只有這樣呢
[00:02:30,920 --> 00:02:35,180] 我們才可以在一個行業裏面持續的保持在遙遙領先的狀態
[00:02:35,180 --> 00:02:37,660] 保持自己的絕對競爭力
[00:02:37,920 --> 00:02:38,940] 第二個理由呢
[00:02:38,940 --> 00:02:43,180] 就是幾乎沒有人能夠做到一比一的複製
[00:02:43,180 --> 00:02:43,880] 首先啊
[00:02:43,880 --> 00:02:45,780] 這個市場的絕大多數人呢
[00:02:45,780 --> 00:02:48,480] 其實是非常非常的懶的
[00:02:48,480 --> 00:02:50,860] 我覺得大部分人其實他們說是在抄
[00:02:50,860 --> 00:02:53,460] 但是他们连抄都不会好好的抄
[00:02:54,000 --> 00:02:57,400] 就好像有很多很多这种IP的孵化机构啊
[00:02:57,400 --> 00:02:59,540] 他们会拆解我呀 模仿我呀
[00:02:59,540 --> 00:03:01,540] 但是呢 其实他们在拆解的时候
[00:03:01,540 --> 00:03:03,920] 基本上也是在以讹传讹
[00:03:03,920 --> 00:03:06,280] 根本就没有自己深入的
[00:03:06,280 --> 00:03:09,440] 好好的把我的整个流程和链条摸过一遍
[00:03:09,440 --> 00:03:11,840] 他们既没有来当过我的客户
[00:03:11,840 --> 00:03:15,080] 也没有去过我的线下的变形课
[00:03:15,080 --> 00:03:19,200] 甚至呢 都没有跟我们的客服深度的交流过
[00:03:19,200 --> 00:03:24,360] 所以最后他们拆解出来的东西其实都是基于他们自己构建的一个想象的
[00:03:24,780 --> 00:03:29,400] 在我看来呢也是漏洞百出的 我给大家讲一个有点搞笑的案例啊
[00:03:29,720 --> 00:03:35,260] 就是呢 我们闺蜜联盟的一个小姐姐她上过我的线下的变现课
[00:03:35,260 --> 00:03:40,080] 然后呢 她又去了一些搞ip复化的这样的课程
[00:03:40,080 --> 00:03:46,140] 结果呢 人家做ip复化的机构呢 也拿我来做案例啊
[00:03:46,140 --> 00:03:50,500] 看似非常非常专业的拆解了我的业务模式
[00:03:50,500 --> 00:03:53,080] 然后呢就说其实在我们的业务板块里
[00:03:53,080 --> 00:03:55,280] 依美这个板块是最赚钱的
[00:03:55,280 --> 00:03:56,920] 其实我们那个闺蜜联盟的小姐姐
[00:03:56,920 --> 00:03:59,080] 她是来过我的线下备心课的
[00:03:59,080 --> 00:04:03,180] 她深知这个并不吻合我们的实际情况啊
[00:04:03,180 --> 00:04:06,160] 然后后来当她听了这个老师讲了这个内容之后
[00:04:06,160 --> 00:04:07,240] 她就说哎呀
[00:04:07,240 --> 00:04:09,900] 本来呢在没有看她拆你之前
[00:04:09,900 --> 00:04:12,140] 其实我对她的预期还挺高的
[00:04:12,140 --> 00:04:14,620] 但是看到她拆你之后我现在真的发现
[00:04:14,620 --> 00:04:17,380] 这个世界果然就是一个草台半葬
