[00:00:00,000 --> 00:00:03,820] Hello大家好 歡迎回到我們金貴的關係2.0的課堂
[00:00:03,820 --> 00:00:06,160] 那從今天開始呢 我們就要進入到
[00:00:06,160 --> 00:00:08,820] 搞前心態這個模塊的學習
[00:00:08,820 --> 00:00:11,820] 這個呢 其實也是我們金貴2的課程
[00:00:11,820 --> 00:00:15,520] 和其他的商業課程很大的一個差別啊
[00:00:15,520 --> 00:00:19,220] 就是我不僅僅的要教大家雄勁和商業技巧
[00:00:19,220 --> 00:00:22,700] 同時呢 我也非常關注大家在創業過程當中
[00:00:22,700 --> 00:00:25,200] 心態的波動和情緒的內耗
[00:00:25,200 --> 00:00:28,980] 並且呢 在這方面我也會給出很詳細的分析
[00:00:28,980 --> 00:00:30,160] 和解決方案
[00:00:32,250 --> 00:00:33,850] 那今天的課程主題呢
[00:00:33,850 --> 00:00:37,410] 就是如何做好決策與選擇
[00:00:37,410 --> 00:00:38,570] 在創業的道路上
[00:00:38,570 --> 00:00:40,810] 我們會面臨無數次的選擇
[00:00:40,810 --> 00:00:42,850] 也需要做無數次的決策
[00:00:42,850 --> 00:00:44,090] 我們可能需要決定
[00:00:44,090 --> 00:00:46,250] 要不要開闢一個新的項目
[00:00:46,250 --> 00:00:49,150] 要不要選擇放棄現有的業務牌
[00:00:49,150 --> 00:00:50,750] 要不要擴張團隊
[00:00:50,750 --> 00:00:53,670] 或者說要不要跟合夥人去合作
[00:00:53,670 --> 00:00:54,910] 等等之類
[00:00:54,910 --> 00:00:55,850] 而這個時候呢
[00:00:55,850 --> 00:00:56,790] 如果我問你
[00:00:56,790 --> 00:00:58,470] 你每做的一個選擇
[00:00:58,470 --> 00:01:01,170] 都是理性思考的結果嗎
[00:01:01,170 --> 00:01:04,050] 都是獨立決策出來的嗎
[00:01:04,050 --> 00:01:04,870] 恐怕呢
[00:01:04,870 --> 00:01:09,170] 只有極少部分的人能夠給出非常確定性的回復
[00:01:09,170 --> 00:01:10,570] 這個很扎心啊
[00:01:10,570 --> 00:01:11,210] 我們這期課呢
[00:01:11,210 --> 00:01:13,370] 就要給大家詳細的來分享一下
[00:01:13,370 --> 00:01:17,010] 到底要如何做出理性獨立的決策
[00:01:17,010 --> 00:01:17,810] 首先呢
[00:01:17,810 --> 00:01:21,710] 我們先來分享絕大多數人在做決策的過程當中
[00:01:21,710 --> 00:01:23,530] 都會踩的三個坑
[00:01:25,290 --> 00:01:28,990] 一是沒有做好最壞的打算
[00:01:28,990 --> 00:01:30,810] 很多人在做角色的時候呀
[00:01:30,810 --> 00:01:32,550] 都只會想著光明面
