[00:00:00,000 --> 00:00:04,020] Hello 大家好 欢迎回到我们金贵的关系2.0的课堂
[00:00:04,020 --> 00:00:07,820] 那今天呢 是我们搞前心态模块的最后一节课
[00:00:07,820 --> 00:00:11,220] 叫做破除焦虑 拥抱松弛
[00:00:11,220 --> 00:00:14,700] 很多宝宝在刚刚创业的时候都会有一种焦虑感
[00:00:14,700 --> 00:00:18,040] 他们要不然呢 就特别的舍不得花钱啊
[00:00:18,040 --> 00:00:20,600] 要不然呢 就没有办法坦然的休息
[00:00:20,600 --> 00:00:24,140] 他们会觉得一旦停下来了 我可能就会被淘汰
[00:00:24,140 --> 00:00:26,280] 说不定一夜之间就要返平
[00:00:26,280 --> 00:00:30,880] 所以我一定要像一頭牛一樣不斷地耕作不斷地幹活
[00:00:30,880 --> 00:00:33,320] 只有這樣他們才會擁有安全感
[00:00:36,940 --> 00:00:39,920] 但是說實話我認為從長遠來看
[00:00:39,920 --> 00:00:43,060] 創業者是一定要擺脫這種焦慮感的
[00:00:43,060 --> 00:00:44,820] 去擁抱鬆弛感
[00:00:44,820 --> 00:00:48,760] 首先我認為創業拼的其實是續航能力
[00:00:48,760 --> 00:00:49,940] 大家可以想想看
[00:00:49,940 --> 00:00:53,160] 如果說你不斷地去拉緊一根橡皮筋的話
[00:00:53,160 --> 00:00:55,220] 那麼最後它的結局是什麼呢
[00:00:55,220 --> 00:00:57,240] 一定是斷掉對吧
[00:00:57,240 --> 00:00:58,520] 所以同樣的
[00:00:58,520 --> 00:01:01,440] 如果說作為一個人 我們也一直都這麼的緊繃
[00:01:01,440 --> 00:01:03,380] 完全不休息 不放鬆
[00:01:03,380 --> 00:01:07,520] 日積月累的壓力 最後一定是會把大家給壓垮的
[00:01:08,330 --> 00:01:11,410] 我舉個例子啊 就是最近呢 我經常看到有一些
[00:01:11,410 --> 00:01:14,530] 做知識付費的 或者是做電商的博主
[00:01:14,530 --> 00:01:16,850] 他們都把自己幹得非常的抑鬱
[00:01:16,850 --> 00:01:20,790] 而且非常奇怪的是有幾個男博主一直在說
[00:01:20,790 --> 00:01:24,070] 他們好像已經陽鬼了
[00:01:24,200 --> 00:01:25,740] 我不知道是不是真的啊
[00:01:25,740 --> 00:01:28,780] 他们都说自己现在看到女人都没有感觉什么的
[00:01:28,780 --> 00:01:31,600] 其实呢这个就是他们一直给自己上发条啊
[00:01:31,600 --> 00:01:34,120] 一直不停的卷而倒置的
[00:01:34,120 --> 00:01:36,200] 但是我呢却刚好相反
[00:01:36,200 --> 00:01:40,100] 一直以来我感觉自己的状态都还是非常的松弛的
[00:01:40,100 --> 00:01:43,060] 之前呢有一个MCN机构老板还一直跟我说
[00:01:43,060 --> 00:01:45,020] 他说他特别特别佩服我的一点
[00:01:45,020 --> 00:01:47,640] 就是觉得我每天都好开心
[00:01:47,640 --> 00:01:49,760] 在我们见不到面的时候呢
[00:01:49,760 --> 00:01:54,060] 他能够通过我的朋友圈就感受到我的这种松弛感
[00:01:54,060 --> 00:01:56,380] 因為他好像覺得我的朋友圈
[00:01:56,380 --> 00:01:59,560] 從來都不發一些跟工作有關的東西啊
[00:02:00,080 --> 00:02:02,260] 每天感覺都是在吃喝玩樂
[00:02:02,260 --> 00:02:04,960] 那這個呢在網紅圈子裡
[00:02:04,960 --> 00:02:07,360] 或者說是在知識付費的圈子裡呢
[00:02:07,360 --> 00:02:10,760] 很少很少大家能夠看到的一種狀態
[00:02:10,760 --> 00:02:13,740] 那所有的人都說要往死裡捲的時候呢
[00:02:13,740 --> 00:02:16,400] 感覺我是一直在好好的生活的
[00:02:16,400 --> 00:02:17,820] 而我也相信啊
[00:02:17,820 --> 00:02:19,720] 就是我這樣的一個節奏呢
[00:02:19,720 --> 00:02:22,260] 能夠讓我走得更長遠
[00:02:22,260 --> 00:02:27,240] 可能最后啊很多很多的做知识付费的这些博主他们都熬不住了
[00:02:27,240 --> 00:02:28,560] 甚至是消失了
[00:02:28,560 --> 00:02:31,300] 可是我呢还可以依然奋斗在一线
[00:02:31,300 --> 00:02:34,680] 其次呢松弛感呢它有一个最大的功能
[00:02:34,680 --> 00:02:36,520] 就是释放你的精力
[00:02:36,520 --> 00:02:38,760] 让你去撬动更大的杠杆
[00:02:38,760 --> 00:02:41,980] 我在杠杆思维那些课里面呢就提到过
[00:02:41,980 --> 00:02:44,100] 其实高级的这种商业模式
