[00:00:00,000 --> 00:00:01,380] Hello 大家好 我是許許
[00:00:01,380 --> 00:00:04,120] 歡迎回到我們金貴的關係2.0的課堂
[00:00:04,120 --> 00:00:06,880] 那我們今天這節課的主題呢是團隊搭建
[00:00:06,880 --> 00:00:10,340] 我會把我選人用人的心得來跟大家分享啊
[00:00:10,340 --> 00:00:14,620] 讓大家呢也能搭建出一支屬於自己的鐵軍
[00:00:14,620 --> 00:00:17,660] 首先呢我們來看我是怎麼選人的
[00:00:17,660 --> 00:00:19,520] 我們要明確一點啊
[00:00:19,520 --> 00:00:22,580] 就是選人不是一個一次性的動作
[00:00:22,580 --> 00:00:24,120] 而是一個過程
[00:00:24,120 --> 00:00:27,280] 就是你聘請了他和他簽了合同
[00:00:27,280 --> 00:00:29,420] 不代表你就徹底選擇了他
[00:00:29,420 --> 00:00:32,060] 相反是在他入職以后
[00:00:32,060 --> 00:00:36,180] 你才开始在各个维度上去考察他
[00:00:36,180 --> 00:00:37,760] 观察他 考验他的
[00:00:37,760 --> 00:00:41,800] 看一看他到底符不符合你选人的标准
[00:00:41,800 --> 00:00:43,940] 那在这里我也给大家分享三个
[00:00:43,940 --> 00:00:47,140] 我自己选人的时候最核心的三个标准
[00:00:47,580 --> 00:00:50,300] 第一个就是价值同频
[00:00:50,300 --> 00:00:52,280] 很多人在挑选合作伙伴
[00:00:52,280 --> 00:00:54,060] 或者是团队成员的时候
[00:00:54,060 --> 00:00:57,380] 总是会第一时间去考虑他的能力
[00:00:57,380 --> 00:00:59,240] 但是我认为这个是不对的
[00:00:59,240 --> 00:01:02,400] 这样的话有可能会给你未来挖坑了
[00:01:02,400 --> 00:01:05,560] 其实能力应该要排在人品的后面
[00:01:05,560 --> 00:01:09,440] 我们最最最看重的应该是一个人的人性底色
[00:01:09,440 --> 00:01:13,040] 我们一定要优先看他是不是善良的
[00:01:13,380 --> 00:01:15,040] 是不是真的想做事的
[00:01:15,040 --> 00:01:18,680] 和你的底层的价值观是不是同频的
[00:01:18,680 --> 00:01:21,980] 如果说他的人性底色是非常的卑劣的
[00:01:21,980 --> 00:01:23,340] 他很自私
[00:01:23,340 --> 00:01:25,640] 他的价值观跟你有巨大的冲突
[00:01:25,640 --> 00:01:27,480] 那么哪怕他能力再强
[00:01:27,480 --> 00:01:28,980] 你也不能选择他
[00:01:29,540 --> 00:01:31,420] 而且一个人品不好的人
[00:01:31,420 --> 00:01:32,940] 他的能力越强
[00:01:32,940 --> 00:01:36,160] 他未来会给你造成的创伤就会越大
[00:01:36,160 --> 00:01:37,060] 我举个例子
[00:01:37,060 --> 00:01:39,540] 在我刚开始做自媒体没有多久的时候
[00:01:39,540 --> 00:01:42,340] 我们那个时候一年大概做到200万左右
[00:01:42,340 --> 00:01:47,080] 我尝试过和杭州的一家M3公司去合作
[00:01:47,080 --> 00:01:50,840] 我跟那个合伙人其实之前是关系很好的
[00:01:50,840 --> 00:01:52,900] 两个人就天天一起吃喝玩乐
[00:01:52,900 --> 00:01:56,760] 他是一个非常会提供情绪价值的一个人
[00:01:56,760 --> 00:01:58,080] 我每次出去逛街
[00:01:58,080 --> 00:02:00,220] 他就負責幫我拎包
[00:02:00,220 --> 00:02:02,460] 有的時候我是一個購物狂魔
[00:02:02,460 --> 00:02:03,240] 你們知道吧
[00:02:03,240 --> 00:02:04,220] 二十幾個購物袋
[00:02:04,220 --> 00:02:06,140] 然後他整個人在商場裡面幫我拎著
[00:02:06,140 --> 00:02:07,220] 整個人都橫起來
[00:02:07,220 --> 00:02:08,440] 在我後面低落著走
[00:02:08,440 --> 00:02:11,220] 所以呢我那個時候因為跟他玩得比較好嘛
[00:02:11,220 --> 00:02:13,060] 就覺得人家給我做了這麼多服務
[00:02:13,060 --> 00:02:15,060] 他正好又是做這個的
[00:02:15,060 --> 00:02:16,300] 我就想說OK吧
[00:02:16,300 --> 00:02:18,200] 那既然他想要跟我一起合作
[00:02:18,200 --> 00:02:19,900] 我們就做著試試看
[00:02:20,340 --> 00:02:22,720] 但實際上最後這個M分公司呢
[00:02:22,720 --> 00:02:26,360] 我認為他在業務上沒有給我提過太大的幫助
[00:02:26,360 --> 00:02:29,120] 那會兒就是直播也是我在做
[00:02:29,120 --> 00:02:30,860] 交付也是我在做
[00:02:30,860 --> 00:02:34,220] 這個短視頻是我跟我的小助理在剪輯
[00:02:34,220 --> 00:02:37,580] 我們每天的工作被壓得非常非常的滿
[00:02:37,580 --> 00:02:38,840] 壓力很大
[00:02:38,840 --> 00:02:42,620] 而且不管遇到任何的產品架構的問題
[00:02:42,620 --> 00:02:43,700] 交付的問題
[00:02:43,700 --> 00:02:44,780] 公關的問題
[00:02:44,780 --> 00:02:46,420] 團隊搭建的問題
[00:02:46,420 --> 00:02:49,160] 所有的問題都需要我來解決
[00:02:49,160 --> 00:02:50,900] 每次出任何的問題的時候
[00:02:50,900 --> 00:02:54,700] 他們看似好像都是拉著我一起在討論
[00:02:54,700 --> 00:02:58,520] 但其實最後都是讓我來定解決方案
[00:02:58,520 --> 00:03:02,400] 然後後來呢他們還拿著我的這個IP的名聲
[00:03:02,400 --> 00:03:04,680] 出去簽其他的IP
[00:03:04,680 --> 00:03:07,540] 但是呢他簽其他IP跟我又沒有什麼關係
[00:03:07,540 --> 00:03:10,180] 那我那個時候就已經非常的不滿了
[00:03:10,180 --> 00:03:12,640] 因為他們其實是拿著我的大頭
[00:03:12,640 --> 00:03:14,420] 我自己是拿小頭的
[00:03:14,420 --> 00:03:17,160] 然後他們拿我的名聲出去搭團隊
[00:03:17,160 --> 00:03:18,560] 他們搭的整個團隊
[00:03:18,560 --> 00:03:21,500] 那個辦公室裡窩泱泱的做了幾十號人
[00:03:21,500 --> 00:03:25,560] 什么剪辑啊 摄影啊 后期啊等等那些
[00:03:25,560 --> 00:03:28,160] 没有一个是为我所用的
[00:03:28,160 --> 00:03:31,160] 我所有的内容都是我跟我的小助理两个人出出来的
[00:03:31,160 --> 00:03:33,700] 所以呢 这家公司当时给我的感觉就是
[00:03:33,700 --> 00:03:36,820] 除了拉个氛围 就没有什么其他的意义了
[00:03:36,820 --> 00:03:38,720] 甚至于是在拖我的后腿
[00:03:38,720 --> 00:03:40,620] 我那会呢 就想着要走
[00:03:40,620 --> 00:03:42,620] 但是我当时还在想说
[00:03:42,620 --> 00:03:45,340] 我要不要把我这个合伙人带着一起走
[00:03:45,340 --> 00:03:48,220] 因为我那个合伙人 其实那家公司的小股东
[00:03:48,220 --> 00:03:49,760] 他还有大股东啊
[00:03:49,760 --> 00:03:50,980] 直到有一天呢
[00:03:50,980 --> 00:03:53,680] 我就跟我那個合夥人進行了一場談話
[00:03:53,680 --> 00:03:55,720] 因為我其實我是想跟他講說
[00:03:55,720 --> 00:03:58,180] 我不可能再跟這家公司進行合作了
[00:03:58,180 --> 00:03:59,360] 但是我要出去幹
[00:03:59,360 --> 00:04:00,760] 你要不要跟我一起去
[00:04:00,760 --> 00:04:03,100] 因為我是把他當我的朋友的
[00:04:03,100 --> 00:04:03,680] 結果呢
[00:04:03,680 --> 00:04:04,900] 他當時就跟我講
[00:04:04,900 --> 00:04:07,920] 他說你的目光太短錢了
[00:04:07,920 --> 00:04:09,240] 我說怎麼說呢
[00:04:09,240 --> 00:04:13,620] 他說你以為我們是想掙做IP的錢嗎
[00:04:13,620 --> 00:04:16,160] 我說不掙做IP的錢掙什麼錢呢
[00:04:16,160 --> 00:04:19,680] 他說我們要賺的是投資人的錢
[00:04:19,680 --> 00:04:21,000] 我當時一下就懵了
[00:04:21,000 --> 00:04:23,330] 因為他們是有一個投資人的
[00:04:23,330 --> 00:04:25,570] 然後那個投資人當初為什麼給他錢
[00:04:25,570 --> 00:04:28,030] 其實就是因為他幫我簽到了
[00:04:28,030 --> 00:04:30,430] 然後所以他就覺得說
[00:04:30,430 --> 00:04:33,470] 如果他再能多簽幾個IP進來的話
[00:04:33,470 --> 00:04:36,950] 那麼就能讓投資人投更多的錢進來
[00:04:37,110 --> 00:04:39,270] 我說沒有一個邏輯叫做
[00:04:39,270 --> 00:04:40,490] 掙投資人的錢
[00:04:40,490 --> 00:04:42,250] 正確的邏輯應該是
[00:04:42,250 --> 00:04:44,290] 我們要去掙市場的錢
[00:04:44,290 --> 00:04:47,850] 然後讓投資人跟著一起掙錢
[00:04:47,850 --> 00:04:50,770] 我说投资人是要跟我们一起挣钱的
[00:04:51,060 --> 00:04:52,820] 我说挣投资人的钱的呢
[00:04:52,820 --> 00:04:54,380] 我说按照你这个说法
[00:04:54,380 --> 00:04:56,940] 那你是希望投资人的钱进来以后
[00:04:56,940 --> 00:04:59,720] 然后你们就把自己的股份变现呗
[00:04:59,720 --> 00:05:01,080] 那实际上你的重心呀
[00:05:01,080 --> 00:05:03,400] 根本就不在IP的打造上面
[00:05:03,400 --> 00:05:05,720] 你也没有一个发心叫做
[00:05:05,720 --> 00:05:08,560] 希望你手底下的IP能够赚这么多钱
[00:05:08,560 --> 00:05:11,620] 他说你能赚几个钱呢
[00:05:11,620 --> 00:05:13,820] 显然他是想不到我有今天呢
[00:05:13,820 --> 00:05:16,600] 那个时候可能觉得一年赚了200万
[00:05:16,600 --> 00:05:18,600] 对他们来说觉得塞牙缝都不够
[00:05:18,600 --> 00:05:20,620] 我当时一下子就理解了
[00:05:20,620 --> 00:05:23,320] 搞了半天就是你的底层5个剂
[00:05:23,320 --> 00:05:25,960] 原来从头到尾跟我的不一样
[00:05:25,960 --> 00:05:28,760] 这个代表的是你的一个价值观构建的问题
[00:05:28,760 --> 00:05:30,480] 我原来也做投资
[00:05:30,480 --> 00:05:33,960] 我最恨的就是坑投资人的钱的人
[00:05:33,960 --> 00:05:36,280] 当时我在听他讲这番话的时候
[00:05:36,280 --> 00:05:38,540] 我一下子就是五雷轰顶
[00:05:38,540 --> 00:05:41,880] 我觉得合着你是想坑投资人的钱
[00:05:42,520 --> 00:05:44,140] 你想就是把股份套现
[00:05:44,140 --> 00:05:47,380] 然后跑路再去圈下一个原种投资人吗
[00:05:47,380 --> 00:05:50,420] 這個是我完全無法接受的
[00:05:50,420 --> 00:05:52,840] 而我內心當中想的
[00:05:52,840 --> 00:05:55,140] 一直都是把事做好
[00:05:55,140 --> 00:05:56,120] 把事做成
[00:05:56,120 --> 00:05:58,200] 然後讓市場認可我
[00:05:58,200 --> 00:05:59,880] 我去賺市場的錢
[00:05:59,880 --> 00:06:01,520] 所以呢在這一點上
[00:06:01,520 --> 00:06:03,940] 我當時就覺得道不同不相為謀
[00:06:03,940 --> 00:06:05,940] 我立刻就下定了決心
[00:06:05,940 --> 00:06:07,880] 一定要跟他們撇清關係
[00:06:07,880 --> 00:06:09,720] 我也不會再帶著
[00:06:09,720 --> 00:06:11,280] 我那個朋友出來一起幹了
[00:06:11,280 --> 00:06:13,420] 所以我就自己獨立出來
[00:06:13,420 --> 00:06:14,700] 做自己的公司了
[00:06:14,700 --> 00:06:16,360] 那這個其實就是我要說的
[00:06:16,360 --> 00:06:19,980] 如果彼此的價值觀底層上發生了不一致
[00:06:19,980 --> 00:06:22,800] 那麼對方不是一個想幹實事的人
[00:06:22,800 --> 00:06:26,900] 這個時候我們千萬要戒斷自己的富人之人
[00:06:26,900 --> 00:06:28,280] 直接劃清界限
[00:06:28,280 --> 00:06:29,640] 我再舉一個正面案例
[00:06:29,640 --> 00:06:33,040] 這是我們線下的項目負責人陳真老師
[00:06:33,040 --> 00:06:36,720] 因為我在這門課裡提到過他很多次了
[00:06:36,720 --> 00:06:39,400] 你們應該知道我非常非常的愛他
