[00:00:00,000 --> 00:00:03,640] Hello 大家好 欢迎回到我们亲贵的关系2.0的课堂
[00:00:03,640 --> 00:00:07,480] 今天我们的课堂主题是学会花钱
[00:00:07,480 --> 00:00:12,760] 在前面的课程里我们已经很详细地跟大家说了要怎么赚钱
[00:00:12,760 --> 00:00:15,480] 但是我们不仅仅要学会如何赚钱
[00:00:15,480 --> 00:00:17,900] 同时我们也要学会如何花钱
[00:00:17,900 --> 00:00:21,600] 只有这样我们才不会让财富左手流尽
[00:00:21,600 --> 00:00:24,160] 右手流出 最后两手空空
[00:00:24,160 --> 00:00:28,500] 所以在这节课里我会教大家花钱的正确姿势
[00:00:28,500 --> 00:00:30,340] 让大家少花冤枉钱
[00:00:30,340 --> 00:00:31,880] 越花越有钱
[00:00:31,880 --> 00:00:33,620] 首先我们先来分享一下
[00:00:33,620 --> 00:00:36,820] 很多人在花钱上面会产生的两个误区
[00:00:36,820 --> 00:00:39,680] 第一个就是只看价格
[00:00:39,680 --> 00:00:41,520] 这个其实是绝大部分人
[00:00:41,520 --> 00:00:45,060] 特别是我觉得相对比较穷的人
[00:00:45,060 --> 00:00:46,660] 他会犯的一个错误
[00:00:46,660 --> 00:00:50,120] 就是大家都喜欢为了便宜而花钱
[00:00:50,120 --> 00:00:51,020] 甚至有的时候
[00:00:51,020 --> 00:00:53,840] 很多人他压根就不需要这个产品
[00:00:53,840 --> 00:00:55,980] 但是只是因为价格很便宜
[00:00:55,980 --> 00:00:58,080] 他可能就为了占那个便宜
[00:00:58,080 --> 00:00:59,360] 而去买单
[00:00:59,360 --> 00:01:02,800] 我自己呢也是从穷的日子过过来的
[00:01:02,800 --> 00:01:05,720] 所以我特别能够理解这样的一种思维方式
[00:01:05,720 --> 00:01:09,100] 我小的时候就非常非常地喜欢逛夜市
[00:01:09,100 --> 00:01:12,300] 很喜欢买一大堆很便宜很便宜的东西
[00:01:12,300 --> 00:01:13,920] 我妈也是这样的啊
[00:01:13,920 --> 00:01:16,560] 她呢永远都会去找最便宜的东西
[00:01:16,560 --> 00:01:19,480] 这个呢让她看上去好像非常非常的节俭
[00:01:19,480 --> 00:01:21,620] 非常非常的注重性价比
[00:01:21,620 --> 00:01:24,020] 但实际上啊我认为这个是
[00:01:24,020 --> 00:01:27,580] 阻拦大家走向富有的一个非常重大的误区
[00:01:27,580 --> 00:01:29,140] 大家可以想想看啊
[00:01:29,140 --> 00:01:31,760] 大部分的人在讲性价比的时候
[00:01:31,760 --> 00:01:34,160] 我们关注的点位究竟是什么呢
[00:01:34,160 --> 00:01:35,380] 是价格
[00:01:35,380 --> 00:01:37,320] 那绝大部分人都会认为
[00:01:37,320 --> 00:01:39,300] 只要价格足够便宜
[00:01:39,300 --> 00:01:41,140] 就意味着性价比足够高
[00:01:41,140 --> 00:01:41,720] 可是啊
[00:01:41,720 --> 00:01:43,920] 如果我们仔细的深究一下
[00:01:43,920 --> 00:01:46,100] 性价比到底是什么呢
[00:01:46,100 --> 00:01:48,720] 其实它是一个综合维度的衡量指标
[00:01:48,720 --> 00:01:49,960] 除了价格以外
[00:01:49,960 --> 00:01:52,500] 我们还需要考虑很多东西
[00:01:52,500 --> 00:01:54,840] 比如说考虑它的品质
[00:01:54,840 --> 00:01:57,360] 或者考虑我使用它的时长
[00:01:57,360 --> 00:02:00,200] 有的时候还需要考虑它的流通性
[00:02:00,200 --> 00:02:02,800] 或者说这个东西它保不保值
[00:02:02,800 --> 00:02:05,540] 那所有的这些事你都考虑到位了
[00:02:05,540 --> 00:02:06,760] 再去算价格
[00:02:06,760 --> 00:02:09,680] 我们才能够得出一个真正的性价比
[00:02:09,680 --> 00:02:12,880] 否则哪怕你买到了再便宜的产品
[00:02:12,880 --> 00:02:15,820] 我认为本质上都是对于金钱的一种浪费
[00:02:15,820 --> 00:02:18,460] 就比如说我原来在武汉买
[00:02:18,460 --> 00:02:21,320] 我人生中的第一套小房子的时候
[00:02:21,320 --> 00:02:23,780] 当时就是让我妈去负责装修的
[00:02:23,780 --> 00:02:28,440] 那那套房子真的是装得一言难尽
[00:02:28,440 --> 00:02:30,500] 首先呢 他会为了省钱
[00:02:30,500 --> 00:02:33,820] 他首先第一一定不会去请任何所谓的设计师
[00:02:33,820 --> 00:02:36,800] 他都是按照自己的想法去做的
[00:02:36,800 --> 00:02:39,060] 想起来了 在这里搭个楼梯
[00:02:39,060 --> 00:02:40,460] 他就在这里搭个楼梯
[00:02:40,460 --> 00:02:41,720] 在那个地方要加个门
[00:02:41,720 --> 00:02:43,200] 他就在那个地方加个门
[00:02:43,200 --> 00:02:45,320] 这里刷个墙 那里安个插座
[00:02:45,320 --> 00:02:50,120] 所有的东西都是靠他自己一个人的想象去完成的
[00:02:50,120 --> 00:02:51,860] 那最后可想而知啊
[00:02:51,860 --> 00:02:52,980] 最后做出来的那个房子
[00:02:52,980 --> 00:02:55,740] 我觉得整个非常非常的恐怖
[00:02:55,740 --> 00:02:58,880] 就是它既不防水也不隔音
[00:02:58,880 --> 00:03:00,560] 然后很潮湿
[00:03:00,560 --> 00:03:03,140] 而且房间里的整个的布局
[00:03:03,140 --> 00:03:05,220] 还有它的功能性的安排
[00:03:05,220 --> 00:03:07,560] 都非常非常的不合理
[00:03:07,560 --> 00:03:09,260] 我每天在那里睡觉的时候
[00:03:09,260 --> 00:03:12,260] 都会听到很多人来人往的声音
