[00:00:00,000 --> 00:00:03,880] 哈喽大家好 欢迎回到我们金贵的关系2.0的课堂
[00:00:03,880 --> 00:00:07,960] 那从这节课开始呢 我们会进入到最后一个模块的学习了
[00:00:07,960 --> 00:00:14,720] 也就是我们要开始学习 守好钱 我们都说啊 打江山容易守江山难啊
[00:00:14,720 --> 00:00:16,640] 挣钱容易 守财难
[00:00:16,640 --> 00:00:24,640] 而想要学会守财呢 最重要的其中一门课 其实就是要学会如何看清人 信对人
[00:00:24,640 --> 00:00:26,400] 才能够守住财
[00:00:26,400 --> 00:00:29,120] 信错人再多的财富也保不住
[00:00:29,120 --> 00:00:31,340] 就好比古时候有一些皇帝
[00:00:31,340 --> 00:00:32,860] 好不容易打下来的江山
[00:00:32,860 --> 00:00:34,620] 就因为信错的奸臣
[00:00:34,620 --> 00:00:37,260] 才导致了江山社稷的崩盘
[00:00:37,260 --> 00:00:38,960] 又好比一些富婆
[00:00:38,960 --> 00:00:41,800] 有的时候会沉迷于一些男主播
[00:00:41,800 --> 00:00:44,760] 乱七八糟的帅哥的情绪价值
[00:00:44,760 --> 00:00:46,700] 疯狂的给他们去打赏
[00:00:46,700 --> 00:00:49,360] 结果发现这些男主播也不杀好人
[00:00:49,900 --> 00:00:52,420] 最后就弄得人财两空
[00:00:52,420 --> 00:00:55,360] 所以说很多人之所以守不住财
[00:00:55,360 --> 00:00:57,760] 就是因为他信了不该信的人
[00:00:57,760 --> 00:00:59,860] 给对方花了不该花的钱
[00:00:59,860 --> 00:01:01,500] 那也因此这节课呢
[00:01:01,500 --> 00:01:02,640] 我们就来跟大家分享
[00:01:02,640 --> 00:01:04,720] 如何识人辨人
[00:01:04,720 --> 00:01:08,000] 我会教大家一眼看穿人心的技巧
[00:01:08,000 --> 00:01:10,020] 让各位富婆宝子们
[00:01:10,020 --> 00:01:12,220] 能够看清身边的每一个人
[00:01:12,220 --> 00:01:13,920] 不要错过一个好人
[00:01:13,920 --> 00:01:16,540] 也不要错信一个坏人
[00:01:16,540 --> 00:01:17,780] 首先我们来看
[00:01:17,780 --> 00:01:20,880] 怎么看穿一个人的动机和底色
[00:01:20,880 --> 00:01:22,780] 我给大家分享两个方法
[00:01:22,780 --> 00:01:25,100] 第一个就是不看语言
[00:01:25,100 --> 00:01:26,380] 看行为
[00:01:26,380 --> 00:01:27,920] 不要看一个人说了什么
[00:01:27,920 --> 00:01:29,620] 而要看这个人做了什么
[00:01:29,620 --> 00:01:31,740] 如果一个人不加任何掩饰
