[00:00:00,110 --> 00:00:03,870] 大家好,歡迎回到我們金貴的關係2.0的課程
[00:00:03,870 --> 00:00:07,530] 我們今天繼續來學習守好錢板塊的課程
[00:00:07,530 --> 00:00:10,350] 今天我們的課程主題是理性消費
[00:00:10,350 --> 00:00:15,670] 在之前的課程裡頭,其實我們已經講到過投資和消費的區別了
[00:00:15,670 --> 00:00:19,110] 並且我們已經掌握了如何投資的內容
[00:00:19,110 --> 00:00:23,510] 那今天的課程,我們就會來著重地講一講如何消費
[00:00:23,510 --> 00:00:26,930] 同時我們也會講到一些更具體的消費類目
[00:00:26,930 --> 00:00:29,110] 讓大家避免消費主義的洗腦
[00:00:29,110 --> 00:00:30,850] 成為金錢的主人
[00:00:30,850 --> 00:00:33,690] 首先呢我們先來講一講消費主義陷阱
[00:00:33,690 --> 00:00:35,050] 了解了這些陷阱呢
[00:00:35,050 --> 00:00:39,190] 會更加有利於我們理解某些商家的不良引導
[00:00:39,190 --> 00:00:41,890] 從根本上避免非理性消費
[00:00:41,890 --> 00:00:44,170] 而我認為最常見的
[00:00:44,170 --> 00:00:46,210] 也是最核心的消費主義陷阱
[00:00:46,210 --> 00:00:49,770] 就是製造概念和製造潮流
[00:00:49,770 --> 00:00:53,070] 這兩個動作往往都是在同一時間出現的
[00:00:53,070 --> 00:00:55,190] 所以呢我們就把它放在一起來講
[00:00:55,190 --> 00:01:00,970] 簡單來說就是商家去憑空的製造並且炒作一些新奇的理念
[00:01:00,970 --> 00:01:03,650] 把這些概念包裝成潮流
[00:01:03,650 --> 00:01:06,350] 引導消費者為這些概念而買單
[00:01:06,350 --> 00:01:12,490] 我認識很多的小姐妹都會陷入到無止境的督臉當中
[00:01:12,490 --> 00:01:14,870] 就是流行什麼她就做什麼
[00:01:14,870 --> 00:01:18,930] 這個本質上其實就是因為有一些美業機構
[00:01:18,930 --> 00:01:24,890] 可能為了銷售產品而不斷地去製造新的審美概念和審美趨勢
[00:01:24,890 --> 00:01:28,150] 讓大家去追逐同志類的美感
[00:01:28,150 --> 00:01:29,670] 最後所產生的結果
[00:01:29,670 --> 00:01:31,850] 比如說原來很早年的時候
[00:01:31,850 --> 00:01:33,490] 就開始流行這個瓜子臉
[00:01:33,490 --> 00:01:34,930] 一些美業機構
[00:01:34,930 --> 00:01:36,990] 它可能就開始製造這種觀念
